timestamp,log_level,source,message
2024-01-15T14:10:15,INFO,SCADA-HMI-01,User admin logged in from 192.168.1.100
2024-01-15T14:10:45,INFO,PLC-REACTOR-01,Normal operation - Temperature: 85.2C Pressure: 120.5 PSI
2024-01-15T14:11:20,INFO,SCADA-HMI-01,Viewing reactor control panel
2024-01-15T14:12:05,INFO,PLC-REACTOR-01,Normal operation - Temperature: 85.4C Pressure: 120.8 PSI
2024-01-15T14:13:12,WARN,FIREWALL-01,Port scan detected from 192.168.1.250
2024-01-15T14:13:18,INFO,SCADA-HMI-01,User admin logged out
2024-01-15T14:14:22,INFO,PLC-REACTOR-01,Normal operation - Temperature: 85.6C Pressure: 121.0 PSI
2024-01-15T14:15:45,WARN,FIREWALL-01,Port scan detected from 192.168.1.250
2024-01-15T14:16:10,ERROR,AUTH-SERVER,Failed login attempt for user 'engineer' from 192.168.1.250
2024-01-15T14:16:15,ERROR,AUTH-SERVER,Failed login attempt for user 'operator' from 192.168.1.250
2024-01-15T14:16:20,ERROR,AUTH-SERVER,Failed login attempt for user 'admin' from 192.168.1.250
2024-01-15T14:16:25,ERROR,AUTH-SERVER,Failed login attempt for user 'root' from 192.168.1.250
2024-01-15T14:16:30,ERROR,AUTH-SERVER,Failed login attempt for user 'supervisor' from 192.168.1.250
2024-01-15T14:16:40,INFO,AUTH-SERVER,Successful login for user 'supervisor' from 192.168.1.250
2024-01-15T14:17:05,INFO,SCADA-HMI-01,User supervisor logged in from 192.168.1.250
2024-01-15T14:17:30,WARN,SCADA-HMI-01,Unusual access pattern detected for user supervisor
2024-01-15T14:18:12,INFO,PLC-REACTOR-01,Normal operation - Temperature: 85.8C Pressure: 121.3 PSI
2024-01-15T14:19:45,INFO,SCADA-HMI-01,User supervisor accessing PLC configuration panel
2024-01-15T14:20:18,CRITICAL,PLC-REACTOR-01,Ladder logic program modification detected
2024-01-15T14:20:25,WARN,SCADA-HMI-01,Configuration change: Alarm thresholds modified
2024-01-15T14:20:40,ERROR,ALARM-SYSTEM,Temperature alarm disabled for PLC-REACTOR-01
2024-01-15T14:20:45,ERROR,ALARM-SYSTEM,Pressure alarm disabled for PLC-REACTOR-01
2024-01-15T14:21:10,CRITICAL,PLC-REACTOR-01,Safety interlock override command received
2024-01-15T14:21:15,ERROR,SAFETY-SYSTEM,Safety interlock bypass activated on PLC-REACTOR-01
2024-01-15T14:22:30,INFO,PLC-REACTOR-01,Setpoint change: Temperature target increased to 150.0C
2024-01-15T14:22:35,INFO,PLC-REACTOR-01,Setpoint change: Pressure target increased to 180.0 PSI
2024-01-15T14:23:05,INFO,PLC-REACTOR-01,Current status - Temperature: 90.2C Pressure: 125.5 PSI
2024-01-15T14:24:10,WARN,PLC-REACTOR-01,Temperature rising rapidly - Current: 98.5C
2024-01-15T14:25:15,ERROR,PLC-REACTOR-01,Temperature exceeds normal range - Current: 110.2C
2024-01-15T14:26:20,CRITICAL,PLC-REACTOR-01,Temperature critical - Current: 125.8C Pressure: 145.2 PSI
2024-01-15T14:27:05,INFO,SCADA-HMI-01,User supervisor viewing live reactor data
2024-01-15T14:27:45,CRITICAL,PLC-REACTOR-01,Pressure critical - Current: 165.5 PSI
2024-01-15T14:28:10,ERROR,PLC-REACTOR-01,Emergency cooling system activation failed
2024-01-15T14:28:15,CRITICAL,SAFETY-SYSTEM,Emergency shutdown procedure blocked by interlock override
2024-01-15T14:28:30,INFO,SCADA-HMI-01,User supervisor logged out
